address_v4,address_v6,asn_v4,asn_v6,country_code,description,firmware_version,first_connected,geometry,id,is_anchor,is_public,last_connected,prefix_v4,prefix_v6,status,status_since,tags,total_uptime,type
87.187.99.251,2003:d8:af26:e300:ee08:6bff:fe73:2e2e,3320.0,3320.0,DE,Oglarun,5080,1474746642.0,"{'type': 'Point', 'coordinates': [8.650500000000001, 52.4505]}",29376,False,True,1737898011.0,87.128.0.0/10,2003::/19,"{'id': 1, 'name': 'Connected', 'since': '2025-01-13T13:07:11Z'}",1736773631.0,"[{'name': 'Home', 'slug': 'home'}, {'name': 'NAT', 'slug': 'nat'}, {'name': 'VDSL', 'slug': 'vdsl'}, {'name': 'IPv4', 'slug': 'ipv4'}, {'name': 'IPv6', 'slug': 'ipv6'}, {'name': 'VDSL2', 'slug': 'vdsl2'}, {'name': 'system: V3', 'slug': 'system-v3'}, {'name': 'system: IPv6 Capable', 'slug': 'system-ipv6-capable'}, {'name': 'system: IPv4 RFC1918', 'slug': 'system-ipv4-rfc1918'}, {'name': 'system: IPv4 Capable', 'slug': 'system-ipv4-capable'}, {'name': 'system: IPv4 Works', 'slug': 'system-ipv4-works'}, {'name': 'system: IPv6 Works', 'slug': 'system-ipv6-works'}, {'name': 'system: Resolves A Correctly', 'slug': 'system-resolves-a-correctly'}, {'name': 'system: Resolves AAAA Correctly', 'slug': 'system-resolves-aaaa-correctly'}, {'name': 'system: IPv4 Stable 1d', 'slug': 'system-ipv4-stable-1d'}]",250485490,Probe
217.238.29.28,2003:d1:8f08:3220:28c1:e6ff:fee2:c356,3320.0,3320.0,DE,,5080,1713605111.0,"{'type': 'Point', 'coordinates': [7.1475, 49.4705]}",1008016,False,True,1737898105.0,217.224.0.0/11,2003::/19,"{'id': 1, 'name': 'Connected', 'since': '2025-01-26T13:12:36Z'}",1737897156.0,"[{'name': 'system: Resolves A Correctly', 'slug': 'system-resolves-a-correctly'}, {'name': 'system: Resolves AAAA Correctly', 'slug': 'system-resolves-aaaa-correctly'}, {'name': 'system: IPv4 Capable', 'slug': 'system-ipv4-capable'}, {'name': 'system: IPv6 Capable', 'slug': 'system-ipv6-capable'}, {'name': 'system: IPv4 RFC1918', 'slug': 'system-ipv4-rfc1918'}, {'name': 'DSL', 'slug': 'dsl'}, {'name': 'DTAG', 'slug': 'dtag'}, {'name': 'Home', 'slug': 'home'}, {'name': 'PPPoE', 'slug': 'pppoe'}, {'name': 'NAT', 'slug': 'nat'}, {'name': 'VDSL2', 'slug': 'vdsl2'}, {'name': 'OpenWrt', 'slug': 'openwrt-3'}, {'name': 'dual-stack', 'slug': 'dual-stack'}, {'name': 'Native IPv6', 'slug': 'native-ipv6'}, {'name': 'Telekom', 'slug': 'telekom'}, {'name': 'IPv4', 'slug': 'ipv4'}, {'name': 'IPv6', 'slug': 'ipv6'}, {'name': 'system: Software', 'slug': 'system-software'}, {'name': 'system: IPv4 Works', 'slug': 'system-ipv4-works'}, {'name': 'system: IPv4 Stable 1d', 'slug': 'system-ipv4-stable-1d'}, {'name': 'system: IPv6 Stable 1d', 'slug': 'system-ipv6-stable-1d'}, {'name': 'system: IPv6 Works', 'slug': 'system-ipv6-works'}, {'name': 'system: IPv6 Stable 30d', 'slug': 'system-ipv6-stable-30d'}]",24266198,Probe
79.199.22.124,2003:f1:4732:5800:a62b:b0ff:fee0:1574,3320.0,3320.0,DE,t1me's pr0be,5080,1475222722.0,"{'type': 'Point', 'coordinates': [6.9985, 49.2195]}",28934,False,True,1737898010.0,79.192.0.0/10,2003::/19,"{'id': 1, 'name': 'Connected', 'since': '2025-01-26T07:03:28Z'}",1737875008.0,"[{'name': 'VDSL', 'slug': 'vdsl'}, {'name': 'system: V3', 'slug': 'system-v3'}, {'name': 'system: IPv4 Capable', 'slug': 'system-ipv4-capable'}, {'name': 'system: IPv4 Works', 'slug': 'system-ipv4-works'}, {'name': 'system: IPv6 Capable', 'slug': 'system-ipv6-capable'}, {'name': 'system: IPv6 Works', 'slug': 'system-ipv6-works'}, {'name': 'NAT', 'slug': 'nat'}, {'name': 'VDSL2', 'slug': 'vdsl2'}, {'name': 'IPv6', 'slug': 'ipv6'}, {'name': 'Native IPv6', 'slug': 'native-ipv6'}, {'name': 'Home', 'slug': 'home'}, {'name': 'IPv4', 'slug': 'ipv4'}, {'name': 'Native IPv4', 'slug': 'native-ipv4'}, {'name': 'system: Resolves A Correctly', 'slug': 'system-resolves-a-correctly'}, {'name': 'system: Resolves AAAA Correctly', 'slug': 'system-resolves-aaaa-correctly'}, {'name': 'system: IPv6 Stable 1d', 'slug': 'system-ipv6-stable-1d'}, {'name': 'system: IPv4 RFC1918', 'slug': 'system-ipv4-rfc1918'}]",222453585,Probe
84.138.107.71,2003:e9:af05:f301:ee08:6bff:fe73:2fa6,3320.0,3320.0,DE,mirko@home-regensburg,5080,1493235697.0,"{'type': 'Point', 'coordinates': [12.0875, 49.0105]}",30717,False,True,1737898016.0,84.128.0.0/10,2003::/19,"{'id': 1, 'name': 'Connected', 'since': '2025-01-21T19:16:20Z'}",1737486980.0,"[{'name': 'DSL', 'slug': 'dsl'}, {'name': 'Home', 'slug': 'home'}, {'name': 'NAT', 'slug': 'nat'}, {'name': 'Native IPv6', 'slug': 'native-ipv6'}, {'name': 'dual-stack', 'slug': 'dual-stack'}, {'name': 'IPv4', 'slug': 'ipv4'}, {'name': 'IPv6', 'slug': 'ipv6'}, {'name': 'VDSL2', 'slug': 'vdsl2'}, {'name': 'system: V3', 'slug': 'system-v3'}, {'name': 'system: IPv6 Capable', 'slug': 'system-ipv6-capable'}, {'name': 'system: IPv4 RFC1918', 'slug': 'system-ipv4-rfc1918'}, {'name': 'system: IPv4 Capable', 'slug': 'system-ipv4-capable'}, {'name': 'system: IPv6 Stable 1d', 'slug': 'system-ipv6-stable-1d'}, {'name': 'system: Resolves AAAA Correctly', 'slug': 'system-resolves-aaaa-correctly'}, {'name': 'system: IPv4 Works', 'slug': 'system-ipv4-works'}, {'name': 'system: IPv6 Works', 'slug': 'system-ipv6-works'}, {'name': 'system: Resolves A Correctly', 'slug': 'system-resolves-a-correctly'}, {'name': 'system: IPv4 Stable 1d', 'slug': 'system-ipv4-stable-1d'}, {'name': 'system: IPv4 Stable 30d', 'slug': 'system-ipv4-stable-30d'}, {'name': 'system: IPv6 Stable 90d', 'slug': 'system-ipv6-stable-90d'}, {'name': 'system: IPv6 Stable 30d', 'slug': 'system-ipv6-stable-30d'}]",232307179,Probe
217.249.127.170,2003:73:4f40:dc00:a62b:b0ff:fee0:666,3320.0,3320.0,DE,,4780,1474651347.0,"{'type': 'Point', 'coordinates': [9.3275, 49.0995]}",29715,False,True,1507367508.0,217.224.0.0/11,2003::/19,"{'id': 3, 'name': 'Abandoned', 'since': '2017-10-07T09:11:48Z'}",1507367508.0,"[{'name': 'DSL', 'slug': 'dsl'}, {'name': 'Home', 'slug': 'home'}, {'name': 'Native IPv6', 'slug': 'native-ipv6'}, {'name': 'IPv4', 'slug': 'ipv4'}, {'name': 'IPv6', 'slug': 'ipv6'}, {'name': 'ADSL', 'slug': 'adsl'}, {'name': 'system: V3', 'slug': 'system-v3'}, {'name': 'system: IPv4 Capable', 'slug': 'system-ipv4-capable'}, {'name': 'system: IPv6 Capable', 'slug': 'system-ipv6-capable'}, {'name': 'system: IPv4 RFC1918', 'slug': 'system-ipv4-rfc1918'}, {'name': 'system: Flash drive filesystem corrupted', 'slug': 'system-flash-drive-filesystem-corrupted'}]",31437316,Probe
46.93.12.127,2003:ee:cf08:a100:c66e:1fff:fe5b:dbc0,3320.0,3320.0,DE,"AS3320, DTAG, Düsseldorf, Germany",5010,1449477906.0,"{'type': 'Point', 'coordinates': [6.8195, 51.2395]}",24955,False,True,1719564603.0,46.80.0.0/12,2003::/19,"{'id': 4, 'name': 'Written Off', 'since': '2024-06-28T08:50:03.190831Z'}",1719564603.0,"[{'name': 'DSL', 'slug': 'dsl'}, {'name': 'Home', 'slug': 'home'}, {'name': 'NAT', 'slug': 'nat'}, {'name': 'Native IPv6', 'slug': 'native-ipv6'}, {'name': 'IPv4', 'slug': 'ipv4'}, {'name': 'IPv6', 'slug': 'ipv6'}, {'name': 'system: V3', 'slug': 'system-v3'}, {'name': 'system: IPv4 Capable', 'slug': 'system-ipv4-capable'}, {'name': 'system: IPv6 Capable', 'slug': 'system-ipv6-capable'}, {'name': 'system: IPv4 RFC1918', 'slug': 'system-ipv4-rfc1918'}]",147037277,Probe
87.171.164.27,2003:ee:9f1d:6300:dd07:8738:4539:10ca,3320.0,3320.0,DE,,5080,1671133950.0,"{'type': 'Point', 'coordinates': [11.2615, 50.1415]}",1005099,False,True,1693127788.0,87.128.0.0/10,2003::/19,"{'id': 3, 'name': 'Abandoned', 'since': '2023-08-27T09:16:28Z'}",1693127788.0,"[{'name': 'system: IPv4 Capable', 'slug': 'system-ipv4-capable'}, {'name': 'system: IPv6 Capable', 'slug': 'system-ipv6-capable'}, {'name': 'system: IPv4 RFC1918', 'slug': 'system-ipv4-rfc1918'}, {'name': 'system: Software', 'slug': 'system-software'}, {'name': 'DSL', 'slug': 'dsl'}, {'name': 'NAT', 'slug': 'nat'}]",11528686,Probe
217.87.60.195,,3320.0,,DE,,0,1414549081.0,"{'type': 'Point', 'coordinates': [8.9975, 48.6915]}",20718,False,True,1486840063.0,217.80.0.0/12,,"{'id': 3, 'name': 'Abandoned', 'since': '2017-02-11T19:07:43Z'}",1486840063.0,"[{'name': 'system: V3', 'slug': 'system-v3'}, {'name': 'system: IPv4 Capable', 'slug': 'system-ipv4-capable'}, {'name': 'system: IPv4 RFC1918', 'slug': 'system-ipv4-rfc1918'}, {'name': 'system: No flash drive', 'slug': 'system-no-flash-drive'}]",70941069,Probe
79.208.21.234,,3320.0,,DE,PraxisAtlas,5080,1606298628.0,"{'type': 'Point', 'coordinates': [9.0675, 48.6595]}",1001405,False,True,1737898079.0,79.192.0.0/10,,"{'id': 1, 'name': 'Connected', 'since': '2025-01-20T13:55:42Z'}",1737381342.0,"[{'name': 'system: IPv4 Works', 'slug': 'system-ipv4-works'}, {'name': 'system: Resolves A Correctly', 'slug': 'system-resolves-a-correctly'}, {'name': 'system: Resolves AAAA Correctly', 'slug': 'system-resolves-aaaa-correctly'}, {'name': 'DTAG', 'slug': 'dtag'}, {'name': 'pi-hole', 'slug': 'pi-hole'}, {'name': 'VDSL2', 'slug': 'vdsl2'}, {'name': 'IPv4', 'slug': 'ipv4'}, {'name': 'Telekom', 'slug': 'telekom'}, {'name': 'IPv6', 'slug': 'ipv6'}, {'name': 'DSL', 'slug': 'dsl'}, {'name': 'Office', 'slug': 'office'}, {'name': 'system: IPv4 Capable', 'slug': 'system-ipv4-capable'}, {'name': 'system: IPv4 RFC1918', 'slug': 'system-ipv4-rfc1918'}, {'name': 'system: Software', 'slug': 'system-software'}]",130694966,Probe
87.166.72.223,2003:cf:573b:6900:a62b:b0ff:fee0:1370,3320.0,3320.0,DE,rgnet,5080,1474785041.0,"{'type': 'Point', 'coordinates': [13.2185, 52.5285]}",28933,False,True,1737898010.0,87.128.0.0/10,2003::/19,"{'id': 1, 'name': 'Connected', 'since': '2025-01-26T02:51:27Z'}",1737859887.0,"[{'name': 'system: IPv6 Capable', 'slug': 'system-ipv6-capable'}, {'name': 'system: IPv6 Stable 90d', 'slug': 'system-ipv6-stable-90d'}, {'name': 'DSL', 'slug': 'dsl'}, {'name': 'Office', 'slug': 'office'}, {'name': 'NAT', 'slug': 'nat'}, {'name': 'Native IPv6', 'slug': 'native-ipv6'}, {'name': 'dual-stack', 'slug': 'dual-stack'}, {'name': 'VDSL', 'slug': 'vdsl'}, {'name': 'IPv4', 'slug': 'ipv4'}, {'name': 'IPv6', 'slug': 'ipv6'}, {'name': 'DTAG', 'slug': 'dtag'}, {'name': 'system: V3', 'slug': 'system-v3'}, {'name': 'system: IPv4 Capable', 'slug': 'system-ipv4-capable'}, {'name': 'system: IPv4 RFC1918', 'slug': 'system-ipv4-rfc1918'}, {'name': 'system: IPv6 Stable 30d', 'slug': 'system-ipv6-stable-30d'}, {'name': 'system: IPv4 Works', 'slug': 'system-ipv4-works'}, {'name': 'system: IPv6 Works', 'slug': 'system-ipv6-works'}, {'name': 'system: Resolves A Correctly', 'slug': 'system-resolves-a-correctly'}, {'name': 'system: Resolves AAAA Correctly', 'slug': 'system-resolves-aaaa-correctly'}, {'name': 'system: IPv4 Stable 1d', 'slug': 'system-ipv4-stable-1d'}, {'name': 'system: IPv6 Stable 1d', 'slug': 'system-ipv6-stable-1d'}]",186805435,Probe
